"courier_id","full_name","vehicle_type","home_borough","hired_at"
COU_000000,Avery Mitchell,scooter,Queens,2025-01-27 00:24:24.000
COU_000001,Jordan Wilson,car,Queens,2025-01-31 06:12:01.000
COU_000002,Logan Adams,scooter,Staten Island,2024-11-04 12:39:24.000
COU_000003,Riley Parker,foot,Brooklyn,2025-02-03 11:21:40.000
COU_000004,Rowan White,bike,Manhattan,2024-08-05 02:00:05.000
COU_000005,River Evans,e-bike,Queens,2025-07-21 13:52:23.000
COU_000006,Sam Nguyen,foot,Brooklyn,2025-05-06 14:53:23.000
COU_000007,Rowan Thomas,scooter,Brooklyn,2024-11-08 09:06:30.000
COU_000008,Tatum Walker,car,Queens,2025-08-29 07:31:09.000
COU_000009,Kendall Perez,car,Queens,2025-09-19 23:50:21.000
COU_000010,Jules King,scooter,Bronx,2025-09-19 03:31:37.000
COU_000011,Parker White,foot,Manhattan,2025-09-23 17:12:58.000
COU_000012,Tatum Thomas,e-bike,Staten Island,2024-12-10 20:02:06.000
COU_000013,Dana Roberts,foot,Staten Island,2025-01-15 09:54:48.000
COU_000014,Tatum Nguyen,bike,Brooklyn,2025-08-29 15:04:43.000
COU_000015,Sage Smith,foot,Brooklyn,2025-03-16 00:00:13.000
COU_000016,Devon Kim,scooter,Brooklyn,2024-10-02 12:30:30.000
COU_000017,Arden Adams,scooter,Staten Island,2025-01-11 12:42:21.000
COU_000018,Taylor Harris,e-bike,Staten Island,2025-07-22 00:24:08.000
COU_000019,Reese Wright,car,Bronx,2024-11-27 01:41:03.000
COU_000020,Micah Rodriguez,bike,Brooklyn,2025-07-02 15:34:11.000
COU_000021,Devon Smith,scooter,Brooklyn,2025-08-16 10:38:33.000
COU_000022,Sloan Green,bike,Queens,2025-07-16 09:11:49.000
COU_000023,Micah Jackson,car,Manhattan,2025-05-25 16:19:24.000
COU_000024,Rowan Lewis,scooter,Brooklyn,2025-08-04 21:29:29.000
COU_000025,Tatum Lopez,foot,Bronx,2024-12-09 12:45:10.000
COU_000026,Shawn Perez,foot,Staten Island,2024-12-22 19:39:30.000
COU_000027,Cameron Lewis,scooter,Staten Island,2025-08-22 19:51:19.000
COU_000028,Peyton Nguyen,bike,Queens,2024-11-27 17:30:01.000
COU_000029,Noel Carter,bike,Brooklyn,2025-01-08 15:31:01.000
COU_000030,Cory Perez,e-bike,Brooklyn,2024-10-19 03:23:06.000
COU_000031,Elliot Lee,foot,Brooklyn,2024-12-16 20:40:56.000
COU_000032,River Kim,scooter,Brooklyn,2024-11-21 18:11:07.000
COU_000033,Rowan Nelson,foot,Brooklyn,2024-08-02 16:22:14.000
COU_000034,Avery Wright,car,Queens,2025-03-18 22:52:26.000
COU_000035,Jamie White,e-bike,Manhattan,2025-06-15 17:35:15.000
COU_000036,River Lewis,bike,Staten Island,2024-10-02 21:25:15.000
COU_000037,Logan Gonzalez,scooter,Brooklyn,2024-11-21 10:33:11.000
COU_000038,Jules Green,scooter,Manhattan,2024-10-15 02:44:11.000
COU_000039,Sloan Gonzalez,scooter,Queens,2025-01-18 08:26:47.000
COU_000040,Parker Green,foot,Bronx,2024-11-04 18:55:08.000
COU_000041,Dana Adams,bike,Manhattan,2025-03-14 00:56:46.000
COU_000042,Quinn Phillips,scooter,Queens,2024-11-06 02:10:49.000
COU_000043,Skyler Smith,e-bike,Manhattan,2024-08-11 05:57:01.000
COU_000044,Logan Lee,bike,Manhattan,2025-04-21 15:08:19.000
COU_000045,Sage Wilson ,car,Queens,2025-05-02 21:46:43.000
COU_000046,Elliot Walker,bike,Bronx,2025-04-22 13:31:56.000
COU_000047,Skyler Wilson,bike,Queens,2024-09-13 13:50:07.000
COU_000048,Reese Evans,e-bike,Manhattan,2024-11-15 05:59:44.000
COU_000049,Riley Martinez,car,Brooklyn,2025-06-18 21:35:24.000
COU_000050,Shawn Nelson,foot,Brooklyn,2024-08-15 20:34:36.000
COU_000051,Sam Hill,scooter,Bronx,2025-08-15 11:54:12.000
COU_000052,Emery Walker,scooter,Bronx,2025-02-11 00:38:43.000
COU_000053,Remy Brown,foot,Bronx,2025-07-04 00:55:18.000
COU_000054,Quinn Wright,e-bike,Brooklyn,2025-09-05 20:17:13.000
COU_000055,Arden Brown,foot,Manhattan,2024-09-05 19:42:39.000
COU_000056,Morgan Scott,bike,Bronx,2024-11-09 12:19:49.000
COU_000057,Sage Smith,car,Brooklyn,2024-09-23 02:29:27.000
COU_000058,Peyton Lee,car,Staten Island,2025-03-16 04:42:08.000
COU_000059,Jules Adams,e-bike,Brooklyn,2025-09-14 19:33:51.000
COU_000060,Taylor Turner,bike,Bronx,2024-11-18 17:41:27.000
COU_000061,River Carter,foot,Manhattan,2024-10-15 09:22:04.000
COU_000062,Blake Brown,scooter,Queens,2025-08-23 17:56:43.000
COU_000063,Phoenix Anderson,e-bike,Brooklyn,2025-02-22 04:58:28.000
COU_000064,Hayden Rodriguez,foot,Staten Island,2024-09-29 10:10:10.000
COU_000065,Dana Nguyen,bike,Staten Island,2025-01-06 05:12:19.000
COU_000066,Sloan Brown,scooter,Staten Island,2024-09-03 20:22:45.000
COU_000067,Robin Baker,bike,Queens,2024-10-18 12:07:41.000
COU_000068,Kendall Hill,bike,Staten Island,2024-08-20 19:13:47.000
COU_000069,Parker Lewis,scooter,Brooklyn,2025-02-25 00:35:10.000
COU_000070,Cory Clark,foot,Brooklyn,2024-12-07 16:09:54.000
COU_000071,River Rodriguez,scooter,Manhattan,2024-09-17 17:24:03.000
COU_000072,Drew Scott,bike,Queens,2025-02-14 04:23:47.000
COU_000073,Harper Green,car,Brooklyn,2024-12-16 05:21:03.000
COU_000074,Tatum Jackson,e-bike,Bronx,2025-02-23 13:13:25.000
COU_000075,Chris Roberts,car,Manhattan,2025-06-24 08:05:25.000
COU_000076,Sage Harris,scooter,Bronx,2024-10-18 16:04:00.000
COU_000077,Quinn Lewis,car,Bronx,2025-07-20 20:19:52.000
COU_000078,Blake Wright,bike,Queens,2025-09-02 17:50:35.000
COU_000079,Sage Nelson,e-bike,Staten Island,2024-10-26 20:22:55.000
COU_000080, Devon Lopez ,car,Manhattan,2024-12-13 02:52:32.000
COU_000081,Emery Perez,e-bike,Brooklyn,2025-08-07 17:40:37.000
COU_000082,Robin Nguyen,bike,Queens,2025-08-01 02:22:15.000
COU_000083,Casey White,bike,Brooklyn,2025-09-10 15:02:31.000
COU_000084,Jules Young,bike,Bronx,2024-08-12 23:31:50.000
COU_000085,Remy Evans,foot,Brooklyn,2024-11-15 15:24:27.000
COU_000086,Cameron Rodriguez,e-bike,Brooklyn,2025-09-09 19:06:42.000
COU_000087, River Campbell,car,Staten Island,2024-08-16 22:31:56.000
COU_000088,Shawn Adams,e-bike,Manhattan,2025-01-11 10:14:20.000
COU_000089,Taylor Adams,foot,Staten Island,2025-03-09 19:49:14.000
COU_000090,Remy Harris,car,Bronx,2025-03-21 12:28:53.000
COU_000091,Sage Brown,bike,Bronx,2025-09-12 21:29:34.000
COU_000092,Emery Phillips,scooter,Brooklyn,2024-09-12 15:44:24.000
COU_000093,Dana Nelson,e-bike,Staten Island,2025-05-12 21:44:03.000
COU_000094,Alex Carter,foot,Queens,2025-08-26 03:17:53.000
COU_000095,River Hill,foot,Manhattan,2025-03-14 01:06:34.000
COU_000096,Rowan Turner,e-bike,Brooklyn,2025-06-29 11:28:56.000
COU_000097,Jamie Parker,foot,Queens,2024-09-25 21:27:09.000
COU_000098,Remy Jackson,e-bike,Manhattan,2025-07-22 16:07:56.000
COU_000099,Avery King,scooter,Brooklyn,2024-12-03 18:34:37.000
COU_000100,Jules Hill,e-bike,Staten Island,2024-08-04 22:21:55.000
COU_000101,Elliot Gonzalez,e-bike,Brooklyn,2025-06-26 23:41:02.000
COU_000102,Casey Clark,e-bike,Staten Island,2025-08-14 22:26:03.000
COU_000103,Jules Green,car,Staten Island,2025-03-17 13:35:19.000
COU_000104,Peyton Adams,car,Bronx,2025-09-15 13:05:46.000
COU_000105,Avery Adams,foot,Bronx,2025-05-06 05:13:57.000
COU_000106,Cameron Adams,bike,Queens,2024-11-04 02:34:32.000
COU_000107,Parker Scott,e-bike,Manhattan,2025-06-03 22:19:40.000
COU_000108,Arden Clark,e-bike,Manhattan,2025-07-07 09:03:58.000
COU_000109,Rowan Brown,bike,Brooklyn,2025-05-19 14:39:34.000
COU_000110,Drew Walker,car,Bronx,2025-08-02 06:18:23.000
COU_000111,Rowan Campbell,e-bike,Brooklyn,2024-09-25 11:19:51.000
COU_000112,Avery Lopez,car,Manhattan,2025-08-21 02:06:57.000
COU_000113, Logan Lopez ,foot,Bronx,2024-11-15 07:32:30.000
COU_000114,Cameron King,bike,Staten Island,2024-11-04 20:05:48.000
COU_000115,Micah Lewis,bike,Staten Island,2025-04-18 03:21:40.000
COU_000116,Blake Parker,foot,Queens,2025-02-11 14:54:33.000
COU_000117,Hayden Rodriguez,car,Queens,2025-01-05 02:50:27.000
COU_000118,Logan Scott,bike,Bronx,2024-09-28 13:29:41.000
COU_000119,Jules Wilson,car,Bronx,2024-09-04 21:13:52.000
COU_000120,Chris Campbell,scooter,Bronx,2025-05-17 22:17:35.000
COU_000121,River Jackson,foot,Queens,2024-12-07 23:54:26.000
COU_000122,Cameron Parker,bike,Staten Island,2025-06-05 10:56:10.000
COU_000123,Tatum Campbell,e-bike,Brooklyn,2024-08-28 05:56:20.000
COU_000124,Alex Phillips,e-bike,Brooklyn,2025-08-04 17:08:50.000
COU_000125,Harper Young,e-bike,Bronx,2025-08-30 05:42:56.000
COU_000126,Jamie Campbell,bike,Manhattan,2025-07-25 09:43:24.000
COU_000127,Avery Garcia,car,Brooklyn,2025-05-05 02:38:42.000
COU_000128,Chris Jackson,bike,Bronx,2025-01-25 12:34:49.000
COU_000129,Reese Thomas,scooter,Staten Island,2024-09-08 19:23:11.000
COU_000130,Devon Green,car,Staten Island,2025-02-28 03:29:24.000
COU_000131,Skyler Smith,scooter,Staten Island,2024-10-27 23:15:00.000
COU_000132,Cory Smith,car,Manhattan,2025-04-27 11:38:27.000
COU_000133,Dana Wright,scooter,Bronx,2025-08-04 21:11:43.000
COU_000134,Kendall Mitchell,foot,Queens,2025-02-14 01:03:18.000
COU_000135,Sam Chen,bike,Queens,2025-04-21 08:42:09.000
COU_000136,Arden Chen,car,Manhattan,2024-09-22 07:47:28.000
COU_000137,Jules Perez,e-bike,Bronx,2025-07-26 06:22:04.000
COU_000138,Elliot Martinez,bike,Staten Island,2025-07-31 09:09:45.000
COU_000139,Noel Patel,car,Queens,2025-07-13 11:28:16.000
COU_000140,Phoenix Wright,car,Staten Island,2024-10-26 06:21:26.000
COU_000141,Micah Hill,scooter,Manhattan,2025-02-05 00:15:26.000
COU_000142,Drew Thomas,scooter,Queens,2024-08-08 12:15:51.000
COU_000143,Robin Walker,bike,Staten Island,2025-04-20 08:05:08.000
COU_000144,Noel Nguyen,bike,Queens,2025-03-29 06:16:18.000
COU_000145,Parker Perez,scooter,Staten Island,2025-09-07 21:05:04.000
COU_000146,Tatum Martinez,e-bike,Bronx,2025-07-16 09:27:53.000
COU_000147,Blake Turner,scooter,Bronx,2024-08-31 06:44:09.000
COU_000148,Taylor White,bike,Queens,2025-06-15 18:23:10.000
COU_000149,Alex Turner,scooter,Manhattan,2025-02-12 23:28:10.000
COU_000150,Cory Carter,e-bike,Staten Island,2025-03-01 12:40:51.000
COU_000151,Chris Chen,bike,Brooklyn,2024-08-21 22:13:12.000
COU_000152,Riley Kim,foot,Bronx,2025-01-29 06:02:41.000
COU_000153,Jules Martinez,car,Bronx,2025-05-14 06:17:43.000
COU_000154,Drew White,foot,Brooklyn,2025-03-23 21:32:15.000
COU_000155,Reese Walker,scooter,Queens,2024-09-08 04:25:36.000
COU_000156,Logan Wright,bike,Queens,2024-10-11 08:57:21.000
COU_000157,Dana Garcia,scooter,Manhattan,2024-10-04 14:00:45.000
COU_000158,Sloan Lopez,bike,Bronx,2025-04-25 11:06:36.000
COU_000159,Tatum King,foot,Bronx,2025-04-23 13:05:10.000
COU_000160,Casey Anderson,bike,Staten Island,2025-04-04 21:40:18.000
COU_000161,Avery Young,car,Bronx,2024-09-09 12:30:09.000
COU_000162,Cory Brown,foot,Bronx,2025-06-13 16:50:06.000
COU_000163,Reese Adams,bike,Queens,2024-09-22 05:31:41.000
COU_000164,Taylor Mitchell,scooter,Bronx,2025-06-04 02:00:22.000
COU_000165,Chris Carter,foot,Queens,2025-02-22 07:16:05.000
COU_000166,Hayden Parker,scooter,Manhattan,2025-07-06 16:41:44.000
COU_000167,Drew Perez,scooter,Staten Island,2025-06-19 11:45:43.000
COU_000168,Sam Young,foot,Bronx,2025-06-30 09:47:38.000
COU_000169,Drew Green,bike,Brooklyn,2024-10-24 20:23:09.000
COU_000170,Harper Green,scooter,Staten Island,2025-07-30 19:51:34.000
COU_000171,Chris Young,foot,Queens,2025-01-17 12:06:07.000
