"customer_id","first_name","last_name","email","phone_number","city","signup_source","created_at"
CUST_0000000,Casey,Scott,casey.scott@mail.com,"212-231-3218",Manhattan,Web,2024-10-30 19:12:55.000
CUST_0000001,Sage,Lee,sage.lee@student.edu,"917-481-3511",Staten Island,In-Store QR,2024-11-29 02:30:48.000
CUST_0000002,Tatum,King,tatum.king@student.edu,"917-892-6147",NYC,Mobile App,2024-10-24 04:12:56.000
CUST_0000003,Reese,Turner,reese.turner@mail.com,"347-613-1379",QUEENS,partner,2025-06-09 01:16:32.000
CUST_0000004,Cameron,White,cameron.white@example.com,"332-592-6105",staten island,Email,2024-12-12 01:29:34.000
CUST_0000005,Jamie,Nguyen,jamie.nguyen@example.com,"646-513-5813",staten island,Web,2024-10-02 00:06:47.000
CUST_0000006,River,King,river.king@student.edu,"646-760-1223",Bronx,Email,2024-07-09 05:16:07.000
CUST_0000007,Tatum,Parker,tatum.parker@example.com,"212-819-7016",StatenIsland,Web,2024-06-08 14:53:24.000
CUST_0000008,Morgan,Thomas,morgan.thomas@mail.com,"347-566-2366",MANHATTAN,Referral,2025-01-30 19:54:13.000
CUST_0000009,Emery,Campbell,emery.campbell@student.edu,"332-898-2040",Brooklyn ,Web,2024-06-23 11:41:57.000
CUST_0000010,Tatum,Smith,tatum.smith@demo.org,"646-351-4584",queens,In-Store QR,2025-01-01 11:28:23.000
CUST_0000011,Sage,Wright,sage.wright@demo.org,"332-489-2510",Bronx,Mobile App,2024-09-29 00:47:00.000
CUST_0000012,Morgan,Jackson,morgan.jackson@mail.com,"718-599-9268",brooklyn,In-Store QR,2024-12-20 21:20:34.000
CUST_0000013,Reese,Young,reese.young@example.com,"332-233-5836",Brooklyn,Web,2024-12-01 10:21:00.000
CUST_0000014,Casey,Nguyen,cAsEY.nguyEn@dEMo.org,"917-237-6179",NYC,Web,2024-12-03 21:10:42.000
CUST_0000015,Avery,Adams,avery.adams@student.edu,"347-734-4062",BROOKLYN,Email,2025-05-27 14:47:42.000
CUST_0000016,River,Wilson,river.wilson@mail.com,"917-344-5051",StatenIsland,Mobile App,2025-06-04 15:31:51.000
CUST_0000017,Noel,Parker,noel.parker@demo.org,"646-308-7817",StatenIsland,Web,2025-09-10 04:24:40.000
CUST_0000018,Peyton,Rodriguez,peyton.rodriguez@student.edu,"718-568-4560",StatenIsland,Mobile App,2024-12-21 07:16:53.000
CUST_0000019,Shawn,Chen,shawn.chen@example.com,"917-542-6272",Brooklyn ,In-Store QR,2025-06-01 03:32:09.000
CUST_0000020,Drew,Lewis,drew.lewis@mail.com,"718-678-6220", Bronx,Mobile App,2024-12-30 12:36:30.000
CUST_0000021,Sam,King,sam.king@example.com,"646-628-5930", Bronx,Partner,2024-11-02 18:04:33.000
CUST_0000022,Jules,Anderson,jules.anderson@student.edu,"347-503-9877",NYC,Email,2024-07-01 04:47:56.000
CUST_0000023,Noel,Gonzalez,noel.gonzalez@student.edu,"917-317-9300",StatenIsland,Referral,2024-09-29 09:54:18.000
CUST_0000024,Chris,Davis,chris.davis@example.com,"917-416-2368",NYC,In-Store QR,2024-11-11 08:24:05.000
